case,selected_action,executed_action,expected_executed_action,safe_landing_detected,expected_bonus,observed_reward,expected_reward,fuel_penalty,info_identity_preserved,passed
all_conditions_true,0,0,0,True,50.0,57.0,57.0,0.0,True,True
attempted_thruster_success,2,2,2,True,50.0,56.7,56.7,0.3,True,True
attempted_thruster_misfire,2,0,0,True,50.0,56.7,56.7,0.3,True,True
not_terminated,0,0,0,False,0.0,7.0,7.0,0.0,True,True
episode_truncated,0,0,0,False,0.0,7.0,7.0,0.0,True,True
left_leg_absent,0,0,0,False,0.0,7.0,7.0,0.0,True,True
right_leg_absent,0,0,0,False,0.0,7.0,7.0,0.0,True,True
horizontal_velocity_boundary,0,0,0,False,0.0,7.0,7.0,0.0,True,True
vertical_velocity_boundary,0,0,0,False,0.0,7.0,7.0,0.0,True,True
orientation_boundary,0,0,0,False,0.0,7.0,7.0,0.0,True,True
